"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"SL-0,5-4-t1-D1.fcs";"SL-0,5-4-t1-D1.fcs";14298;3933,19908655824;2305,60914640302;175,786802690077;56,0608161207204;58,4569192582546
"SL-0,5-4-t2-D1.fcs";"SL-0,5-4-t2-D1.fcs";14074,6666666667;4505,77170563268;2913,80332247457;121,886559280888;30,2677672969714;36,9928554187526
"SoyLec-0,005-4-t0-D1.fcs";"SoyLec-0,005-4-t0-D1.fcs";13609,3333333333;3972,3512740263;2492,75001646956;160,50025960519;36,0210152569798;56,1119004868751
"SoyLec-0,005-4-t2-D1.fcs";"SoyLec-0,005-4-t2-D1.fcs";14797,3333333333;4330,84735346427;2769,1058078412;233,200200114265;52,6951353976744;19,096839104573
"SoyLec-0,05-4-t0-D1.fcs";"SoyLec-0,05-4-t0-D1.fcs";12644;3790,10633394634;2445,83476455294;207,55962998618;38,9146951306837;63,2854832600137
"SoyLec-0,05-4-t1-D1.fcs";"SoyLec-0,05-4-t1-D1.fcs";15074;4307,48215300825;2760,08149996902;174,467762065088;41,673043391448;55,2119604723748
"SoyLec-0,05-4-t2-D1.fcs";"SoyLec-0,05-4-t2-D1.fcs";15404;4310,20474578908;2721,18644922721;118,11435137188;69,4441279906378;23,7987595243811
"SoyLec-0,5-4-t0-D1.fcs";"SoyLec-0,5-4-t0-D1.fcs";13483,6666666667;4298,50548007864;2735,23566259235;115,768447054166;48,5192846261402;25,6489053184867
"SoyLec-0,5-4-t1-D1.fcs";"SoyLec-0,5-4-t1-D1.fcs";15171,6666666667;4569,36072870331;2945,94890684714;201,386030631058;62,7732064091435;78,0552440146847
"SoyLec-0,5-4-t2-D1.fcs";"SoyLec-0,5-4-t2-D1.fcs";14668,3333333333;4410,76045780695;2685,34318270005;37,2200662725543;60,5277914969448;35,5991653276678
