Emulsifier;EM_Concentration;Timepoint;Donor;Live_Count;Dead_Count;Ratio;;;;;;;;;;;;;;;
CMC;0,005;0;5;9,65;8,68;1,11;;;;;;;;;;;;;;;
CMC;0,05;0;5;9,62;8,65;1,11;;;;;;;;;;;;;;;
CMC;0,5;0;5;9,62;8,68;1,11;;;;;;;;;;;;;;;
CMC;0;0;5;9,51;8,93;1,07;;;;;;;;;;;;;;;
P80;0,005;0;5;9,62;8,69;1,11;;;;;;;;;;;;;;;
P80;0,05;0;5;9,64;8,75;1,10;;;;;;;;;;;;;;;
P80;0,5;0;5;9,63;8,75;1,10;;;;;;;;;;;;;;;
P80;0;0;5;9,51;8,93;1,07;;;;;;;;;;;;;;;
SoyLec;0,005;0;5;9,57;8,65;1,11;;;;;;;;;;;;;;;
SoyLec;0,05;0;5;9,52;8,88;1,07;;;;;;;;;;;;;;;
SoyLec;0,5;0;5;9,62;8,84;1,09;;;;;;;;;;;;;;;
SoyLec;0;0;5;9,51;8,93;1,07;;;;;;;;;;;;;;;
SL;0,005;0;5;9,60;8,68;1,11;;;;;;;;;;;;;;;
SL;0,05;0;5;9,33;9,32;1,00;;;;;;;;;;;;;;;
SL;0,5;0;5;9,31;9,35;1,00;;;;;;;;;;;;;;;
SL;0;0;5;9,51;8,93;1,07;;;;;;;;;;;;;;;
RL;0,005;0;5;9,58;8,93;1,07;;;;;;;;;;;;;;;
RL;0,05;0;5;9,27;9,45;0,98;;;;;;;;;;;;;;;
RL;0,5;0;5;8,98;9,49;0,95;;;;;;;;;;;;;;;
RL;0;0;5;9,51;8,93;1,07;;;;;;;;;;;;;;;
CMC;0,005;24;4;9,59;9,28;1,03;;;;;;;;;;;;;;;
CMC;0,05;24;4;9,70;9,26;1,05;;;;;;;;;;;;;;;
CMC;0,5;24;4;9,62;9,26;1,04;;;;;;;;;;;;;;;
CMC;0;24;4;9,52;9,30;1,02;;;;;;;;;;;;;;;
P80;0,005;24;4;9,53;9,26;1,03;;;;;;;;;;;;;;;
