Emulsifier;EM_Concentration;Timepoint;Donor;Live_Count;Dead_Count;Ratio;;;;;;;;;;;;;;;
P80;0,5;0;2;9,66;9,27;1,04;;;;;;;;;;;;;;;
P80;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
SoyLec;0,005;0;2;9,73;9,29;1,05;;;;;;;;;;;;;;;
SoyLec;0,05;0;2;9,71;9,37;1,04;;;;;;;;;;;;;;;
SoyLec;0,5;0;2;9,51;9,59;0,99;;;;;;;;;;;;;;;
SoyLec;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
SL;0,005;0;2;9,73;9,17;1,06;;;;;;;;;;;;;;;
SL;0,05;0;2;9,31;9,57;0,97;;;;;;;;;;;;;;;
SL;0,5;0;2;8,97;9,78;0,92;;;;;;;;;;;;;;;
SL;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
RL;0,005;0;2;9,66;9,38;1,03;;;;;;;;;;;;;;;
RL;0,05;0;2;9,14;9,73;0,94;;;;;;;;;;;;;;;
RL;0,5;0;2;8,77;9,63;0,91;;;;;;;;;;;;;;;
RL;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
CMC;0,005;0;3;9,71;9,07;1,07;;;;;;;;;;;;;;;
CMC;0,05;0;3;9,76;9,08;1,08;;;;;;;;;;;;;;;
CMC;0,5;0;3;9,75;9,10;1,07;;;;;;;;;;;;;;;
CMC;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
P80;0,005;0;2;9,72;9,11;1,07;;;;;;;;;;;;;;;
P80;0,05;0;3;9,73;9,24;1,05;;;;;;;;;;;;;;;
P80;0,5;0;3;9,76;9,18;1,06;;;;;;;;;;;;;;;
P80;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
SoyLec;0,005;0;3;9,65;9,27;1,04;;;;;;;;;;;;;;;
SoyLec;0,05;0;3;9,61;9,44;1,02;;;;;;;;;;;;;;;
SoyLec;0,5;0;3;9,62;9,44;1,02;;;;;;;;;;;;;;;
SoyLec;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
SL;0,005;0;3;9,72;9,04;1,08;;;;;;;;;;;;;;;
SL;0,05;0;3;9,44;9,56;0,99;;;;;;;;;;;;;;;
SL;0,5;0;3;9,02;9,66;0,93;;;;;;;;;;;;;;;
SL;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
RL;0,005;0;3;9,69;9,12;1,06;;;;;;;;;;;;;;;
RL;0,05;0;3;9,32;9,59;0,97;;;;;;;;;;;;;;;
RL;0,5;0;3;8,92;9,60;0,93;;;;;;;;;;;;;;;
RL;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
CMC;0,005;24;2;9,71;9,35;1,04;;;;;;;;;;;;;;;
CMC;0,05;24;2;9,75;9,35;1,04;;;;;;;;;;;;;;;
CMC;0,5;24;2;9,77;9,40;1,04;;;;;;;;;;;;;;;
CMC;0;24;2;9,69;9,33;1,04;;;;;;;;;;;;;;;
P80;0,005;24;2;9,63;9,06;1,06;;;;;;;;;;;;;;;
P80;0,05;24;2;9,77;9,39;1,04;;;;;;;;;;;;;;;
P80;0,5;24;2;9,67;9,40;1,03;;;;;;;;;;;;;;;
P80;0;24;2;9,69;9,33;1,04;;;;;;;;;;;;;;;
SoyLec;0,005;24;2;9,69;9,53;1,02;;;;;;;;;;;;;;;
SoyLec;0,05;24;2;9,55;9,55;1,00;;;;;;;;;;;;;;;
SoyLec;0,5;24;2;9,05;9,75;0,93;;;;;;;;;;;;;;;
SoyLec;0;24;2;9,69;9,33;1,04;;;;;;;;;;;;;;;
SL;0,005;24;2;9,71;9,43;1,03;;;;;;;;;;;;;;;
SL;0,05;24;2;9,43;9,62;0,98;;;;;;;;;;;;;;;
SL;0,5;24;2;8,73;9,59;0,91;;;;;;;;;;;;;;;
SL;0;24;2;9,69;9,33;1,04;;;;;;;;;;;;;;;
RL;0,005;24;2;9,43;9,64;0,98;;;;;;;;;;;;;;;
RL;0,05;24;2;8,90;9,52;0,94;;;;;;;;;;;;;;;
RL;0,5;24;2;8,55;9,43;0,91;;;;;;;;;;;;;;;
RL;0;24;2;9,69;9,33;1,04;;;;;;;;;;;;;;;
CMC;0,005;24;3;9,68;9,03;1,07;;;;;;;;;;;;;;;
CMC;0,05;24;3;9,69;9,05;1,07;;;;;;;;;;;;;;;
CMC;0,5;24;3;9,74;9,09;1,07;;;;;;;;;;;;;;;
CMC;0;24;3;9,65;9,03;1,07;;;;;;;;;;;;;;;
P80;0,005;24;3;9,63;9,06;1,06;;;;;;;;;;;;;;;
P80;0,05;24;3;9,77;9,39;1,04;;;;;;;;;;;;;;;
P80;0,5;24;3;9,67;9,05;1,07;;;;;;;;;;;;;;;
P80;0;24;3;9,65;9,03;1,07;;;;;;;;;;;;;;;
SoyLec;0,005;24;3;9,50;9,15;1,04;;;;;;;;;;;;;;;
